iter	Logloss
0	0.5817635084
1	0.4947567645
2	0.4287219635
3	0.3803342926
4	0.3420250336
5	0.3112016475
6	0.2887492623
7	0.271641762
8	0.254790766
9	0.239222204
10	0.2264170121
11	0.2180341768
12	0.2110781646
13	0.2049947241
14	0.2001113116
15	0.1962921702
16	0.1934241069
17	0.190427807
18	0.1874970702
19	0.1854669647
20	0.183951625
21	0.1822682727
22	0.1813029901
23	0.1800440759
24	0.179125005
25	0.1781829437
26	0.1771409586
27	0.1762399794
28	0.1751165359
29	0.1742642083
30	0.1731107352
31	0.1722525138
32	0.1717297337
33	0.1707890092
34	0.1701115535
35	0.1692504392
36	0.1686881095
37	0.1682317056
38	0.1676821229
39	0.1671442442
40	0.1669146054
41	0.1664856403
42	0.1660519868
43	0.1656227882
44	0.1650679763
45	0.1647913047
46	0.1645590299
47	0.1642681583
48	0.1638727776
49	0.1635981011
50	0.1632037027
51	0.1630245876
52	0.1629159816
53	0.1627646259
54	0.1626702593
55	0.1625672426
56	0.1624293037
57	0.1623757413
58	0.1622432501
59	0.1620706654
60	0.1620044136
61	0.1619319335
62	0.1617944399
63	0.161552526
64	0.1614537712
65	0.1612987327
66	0.1611271649
67	0.1611131212
68	0.1609492407
69	0.1608076861
70	0.1606335169
71	0.1604970441
72	0.160376995
73	0.1602003371
74	0.1600953355
75	0.1600333395
76	0.1599454196
77	0.1597334623
78	0.1594874158
79	0.1589560228
80	0.158686117
81	0.1583957409
82	0.1583414246
83	0.1582696665
84	0.1582361616
85	0.1580383016
86	0.1579369674
87	0.1575979786
88	0.157381815
89	0.1570543345
90	0.1569043571
91	0.1567685347
92	0.1565653579
93	0.1563099046
94	0.1562766753
95	0.1561823776
96	0.1561528013
97	0.1560984221
98	0.155967081
99	0.155834275
100	0.1557726243
101	0.1556647133
102	0.1554665192
103	0.1552749414
104	0.1551951327
105	0.1551387459
106	0.1549442834
107	0.1548495158
108	0.1547693964
109	0.1546450859
110	0.154480557
111	0.1542665542
112	0.1541817654
113	0.1541229742
114	0.1539831627
115	0.1536525638
116	0.153505602
117	0.1534218995
118	0.1533080971
119	0.1531305641
120	0.1530859754
121	0.1529412131
122	0.1527568189
123	0.1527474358
124	0.152549578
125	0.1522837273
126	0.1522240362
127	0.1521652594
128	0.1520407177
129	0.1518359274
130	0.1517594487
131	0.1516735796
132	0.1515296511
133	0.1514383479
134	0.1512969968
135	0.1512521361
136	0.1510097339
137	0.1509333173
138	0.1508346247
139	0.150733056
140	0.1506732585
141	0.1506366948
142	0.1504864202
143	0.1503755362
144	0.1501974881
145	0.1501489341
146	0.1500783292
147	0.1498137823
148	0.149677161
149	0.1495364582
150	0.1494270607
151	0.1493552948
152	0.1491751936
153	0.1491751773
154	0.1491283565
155	0.1489901889
156	0.1489260021
157	0.1488066848
158	0.1487001665
159	0.148621587
160	0.1484317308
161	0.1484283322
162	0.1482872224
163	0.1480534057
164	0.1478798991
165	0.1477520109
166	0.1476745256
167	0.1475783452
168	0.147434033
169	0.1472747805
170	0.1471038328
171	0.1469821882
172	0.146789155
173	0.1467375033
174	0.1465233437
175	0.1463791981
176	0.1462033264
177	0.1461512949
178	0.1458495979
179	0.1456591507
180	0.1455630778
181	0.145457755
182	0.1452706312
183	0.1452031352
184	0.1450285726
185	0.1448066107
186	0.1447019747
187	0.1446002781
188	0.1445037621
189	0.1443710741
190	0.1442067459
191	0.1439646759
192	0.1438420707
193	0.1437731142
194	0.1436792949
195	0.143461245
196	0.1432865246
197	0.1430832464
198	0.1429861124
199	0.142861594
