iter	Passed	Remaining
0	23	4606
1	55	5494
2	70	4604
3	74	3642
4	88	3448
5	100	3259
6	108	2986
7	133	3192
8	157	3341
9	168	3196
10	178	3064
11	200	3144
12	215	3099
13	237	3151
14	262	3233
15	281	3238
16	299	3223
17	309	3127
18	322	3074
19	333	3004
20	348	2974
21	361	2928
22	383	2950
23	411	3018
24	439	3078
25	452	3028
26	487	3121
27	507	3115
28	521	3077
29	552	3128
30	572	3119
31	588	3090
32	604	3061
33	623	3041
34	646	3048
35	670	3056
36	691	3048
37	714	3044
38	737	3043
39	762	3051
40	786	3051
41	812	3057
42	832	3040
43	853	3027
44	885	3051
45	913	3056
46	945	3079
47	957	3032
48	984	3032
49	1019	3059
50	1064	3109
51	1088	3098
52	1118	3101
53	1143	3090
54	1158	3053
55	1182	3040
56	1204	3021
57	1221	2991
58	1257	3005
59	1285	2999
60	1310	2985
61	1334	2970
62	1364	2967
63	1390	2955
64	1413	2935
65	1435	2915
66	1474	2927
67	1496	2905
68	1515	2876
69	1542	2864
70	1571	2855
71	1587	2821
72	1606	2794
73	1624	2766
74	1660	2767
75	1694	2764
76	1724	2754
77	1739	2721
78	1774	2718
79	1799	2699
80	1827	2685
81	1847	2659
82	1872	2639
83	1896	2618
84	1926	2606
85	1962	2600
86	1984	2577
87	2006	2553
88	2023	2524
89	2049	2504
90	2075	2485
91	2098	2463
92	2120	2439
93	2145	2419
94	2167	2395
95	2187	2369
96	2217	2354
97	2250	2341
98	2277	2323
99	2300	2300
100	2331	2285
101	2358	2265
102	2383	2244
103	2408	2223
104	2434	2202
105	2463	2184
106	2488	2162
107	2519	2145
108	2550	2129
109	2567	2101
110	2594	2080
111	2616	2055
112	2641	2033
113	2663	2009
114	2686	1985
115	2704	1958
116	2726	1934
117	2751	1912
118	2776	1890
119	2803	1869
120	2826	1845
121	2850	1822
122	2875	1800
123	2898	1776
124	2922	1753
125	2952	1733
126	2968	1706
127	2993	1683
128	3016	1659
129	3038	1636
130	3065	1614
131	3099	1596
132	3125	1574
133	3151	1552
134	3179	1530
135	3209	1510
136	3241	1490
137	3266	1467
138	3287	1442
139	3310	1418
140	3334	1395
141	3369	1376
142	3390	1351
143	3423	1331
144	3449	1308
145	3477	1286
146	3497	1261
147	3523	1238
148	3546	1213
149	3572	1190
150	3595	1166
151	3610	1140
152	3634	1116
153	3651	1090
154	3671	1065
155	3694	1041
156	3720	1019
157	3741	994
158	3769	972
159	3801	950
160	3815	924
161	3839	900
162	3860	876
163	3893	854
164	3918	831
165	3945	808
166	3971	784
167	4000	762
168	4024	738
169	4047	714
170	4070	690
171	4099	667
172	4120	643
173	4143	619
174	4177	596
175	4206	573
176	4231	549
177	4256	526
178	4275	501
179	4296	477
180	4313	452
181	4337	428
182	4372	406
183	4391	381
184	4421	358
185	4455	335
186	4480	311
187	4511	287
188	4532	263
189	4558	239
190	4580	215
191	4604	191
192	4628	167
193	4651	143
194	4663	119
195	4688	95
196	4709	71
197	4729	47
198	4755	23
199	4777	0
