iter	Passed	Remaining
0	29	5916
1	78	7763
2	99	6533
3	105	5146
4	118	4612
5	136	4414
6	153	4235
7	167	4015
8	186	3962
9	209	3988
10	218	3756
11	232	3643
12	253	3646
13	277	3682
14	297	3667
15	321	3692
16	326	3519
17	348	3521
18	446	4250
19	463	4167
20	474	4046
21	500	4050
22	524	4033
23	538	3946
24	555	3890
25	564	3776
26	584	3747
27	613	3767
28	635	3748
29	646	3665
30	661	3608
31	692	3635
32	705	3571
33	724	3535
34	754	3558
35	777	3541
36	810	3570
37	839	3579
38	862	3559
39	891	3567
40	924	3585
41	976	3672
42	1000	3651
43	1023	3629
44	1049	3613
45	1077	3606
46	1097	3573
47	1128	3574
48	1161	3579
49	1183	3551
50	1216	3552
51	1256	3575
52	1276	3540
53	1304	3527
54	1329	3505
55	1351	3475
56	1380	3462
57	1406	3444
58	1421	3397
59	1470	3430
60	1498	3414
61	1520	3384
62	1545	3361
63	1567	3329
64	1594	3311
65	1621	3291
66	1642	3260
67	1667	3237
68	1682	3194
69	1705	3166
70	1732	3147
71	1750	3111
72	1772	3082
73	1789	3046
74	1818	3030
75	1842	3006
76	1854	2961
77	1893	2961
78	1920	2942
79	1945	2918
80	1966	2888
81	1997	2874
82	2017	2844
83	2044	2823
84	2066	2795
85	2093	2774
86	2122	2756
87	2146	2732
88	2171	2708
89	2192	2679
90	2212	2650
91	2238	2628
92	2265	2606
93	2276	2566
94	2293	2535
95	2309	2501
96	2336	2481
97	2365	2462
98	2388	2436
99	2410	2410
100	2448	2399
101	2499	2401
102	2533	2385
103	2559	2362
104	2582	2336
105	2609	2314
106	2633	2289
107	2658	2264
108	2689	2245
109	2712	2218
110	2739	2196
111	2766	2173
112	2796	2152
113	2815	2123
114	2832	2093
115	2862	2073
116	2890	2050
117	2905	2019
118	2933	1996
119	2966	1977
120	3000	1958
121	3030	1937
122	3056	1913
123	3074	1884
124	3100	1860
125	3120	1832
126	3140	1805
127	3158	1776
128	3185	1753
129	3201	1723
130	3227	1699
131	3253	1676
132	3276	1650
133	3298	1624
134	3324	1600
135	3345	1574
136	3375	1552
137	3404	1529
138	3427	1504
139	3456	1481
140	3514	1470
141	3543	1447
142	3570	1423
143	3596	1398
144	3621	1373
145	3652	1351
146	3685	1328
147	3710	1303
148	3736	1279
149	3761	1253
150	3797	1232
151	3824	1207
152	3847	1182
153	3874	1157
154	3905	1133
155	3918	1105
156	3946	1080
157	3976	1057
158	4011	1034
159	4029	1007
160	4055	982
161	4078	956
162	4102	931
163	4131	906
164	4149	880
165	4174	854
166	4196	829
167	4222	804
168	4243	778
169	4268	753
170	4298	729
171	4329	704
172	4354	679
173	4376	653
174	4403	629
175	4428	603
176	4458	579
177	4481	553
178	4500	528
179	4552	505
180	4587	481
181	4619	456
182	4644	431
183	4666	405
184	4695	380
185	4720	355
186	4742	329
187	4765	304
188	4788	278
189	4816	253
190	4840	228
191	4866	202
192	4892	177
193	4919	152
194	4942	126
195	4960	101
196	4990	76
197	5027	50
198	5052	25
199	5073	0
