iter	Passed	Remaining
0	13	2782
1	36	3571
2	51	3361
3	55	2717
4	69	2722
5	82	2682
6	90	2502
7	105	2540
8	117	2495
9	129	2455
10	146	2522
11	172	2704
12	192	2763
13	213	2837
14	233	2881
15	247	2844
16	257	2771
17	276	2795
18	299	2849
19	319	2877
20	354	3017
21	370	2998
22	384	2958
23	409	2999
24	433	3035
25	449	3006
26	468	2999
27	497	3054
28	529	3120
29	556	3152
30	570	3111
31	597	3135
32	608	3079
33	638	3118
34	658	3103
35	693	3158
36	711	3135
37	730	3113
38	757	3128
39	784	3138
40	814	3160
41	833	3136
42	865	3158
43	883	3131
44	928	3197
45	954	3196
46	972	3167
47	1001	3171
48	1032	3183
49	1063	3191
50	1089	3183
51	1119	3186
52	1141	3166
53	1172	3168
54	1187	3130
55	1209	3110
56	1232	3090
57	1253	3068
58	1280	3060
59	1290	3011
60	1312	2990
61	1340	2984
62	1370	2979
63	1396	2967
64	1444	3000
65	1468	2981
66	1490	2958
67	1512	2935
68	1534	2913
69	1569	2913
70	1592	2894
71	1614	2869
72	1642	2857
73	1675	2852
74	1711	2852
75	1734	2829
76	1765	2820
77	1791	2801
78	1843	2823
79	1875	2813
80	1898	2789
81	1956	2815
82	2002	2823
83	2025	2797
84	2067	2797
85	2095	2778
86	2135	2773
87	2177	2771
88	2203	2748
89	2219	2712
90	2280	2732
91	2310	2712
92	2338	2690
93	2375	2678
94	2412	2666
95	2463	2668
96	2491	2645
97	2530	2633
98	2554	2606
99	2580	2580
100	2606	2555
101	2636	2532
102	2667	2512
103	2708	2499
104	2761	2498
105	2787	2471
106	2816	2447
107	2833	2413
108	2858	2386
109	2891	2365
110	2921	2342
111	2969	2332
112	2999	2309
113	3026	2282
114	3059	2261
115	3103	2247
116	3140	2227
117	3176	2207
118	3222	2193
119	3261	2174
120	3304	2157
121	3331	2129
122	3347	2095
123	3372	2067
124	3408	2044
125	3432	2015
126	3459	1988
127	3488	1962
128	3513	1933
129	3540	1906
130	3567	1879
131	3595	1852
132	3620	1823
133	3665	1805
134	3696	1779
135	3735	1758
136	3748	1723
137	3773	1695
138	3798	1666
139	3826	1640
140	3849	1610
141	3882	1585
142	3926	1565
143	3990	1551
144	4016	1523
145	4054	1499
146	4097	1477
147	4120	1447
148	4144	1418
149	4201	1400
150	4228	1372
151	4247	1341
152	4281	1315
153	4324	1291
154	4352	1263
155	4384	1236
156	4425	1212
157	4471	1188
158	4500	1160
159	4524	1131
160	4546	1101
161	4559	1069
162	4582	1040
163	4602	1010
164	4635	983
165	4668	956
166	4705	929
167	4731	901
168	4754	872
169	4784	844
170	4804	814
171	4829	786
172	4854	757
173	4899	732
174	4925	703
175	4952	675
176	4995	649
177	5021	620
178	5042	591
179	5069	563
180	5105	535
181	5129	507
182	5156	479
183	5188	451
184	5220	423
185	5249	395
186	5275	366
187	5303	338
188	5323	309
189	5350	281
190	5368	252
191	5386	224
192	5416	196
193	5452	168
194	5479	140
195	5497	112
196	5519	84
197	5546	56
198	5569	27
199	5598	0
