iter	Logloss
0	0.581101274
1	0.4935073343
2	0.4265621805
3	0.3780812256
4	0.3393411437
5	0.3086636067
6	0.2865278162
7	0.266324376
8	0.2503709906
9	0.2384140162
10	0.2263426171
11	0.2173252789
12	0.2091143472
13	0.2024734739
14	0.1967154981
15	0.1925569481
16	0.1888755914
17	0.1863637649
18	0.1838826624
19	0.1817634991
20	0.1799582278
21	0.1781555559
22	0.1765690378
23	0.1756495206
24	0.174631065
25	0.1738741516
26	0.1729279521
27	0.1719965123
28	0.1703036077
29	0.1690558111
30	0.1681297442
31	0.1672335178
32	0.1663849376
33	0.1657880367
34	0.1654321495
35	0.1651091741
36	0.1648778175
37	0.1645023272
38	0.1641515898
39	0.1637062112
40	0.1631993433
41	0.1629106314
42	0.1627753833
43	0.1625699412
44	0.1624556433
45	0.16205975
46	0.1617454257
47	0.1615943012
48	0.1613622746
49	0.1612272137
50	0.1610183866
51	0.1609412179
52	0.1607661747
53	0.1603949472
54	0.1599743931
55	0.159894452
56	0.1597417919
57	0.1596313291
58	0.1595452586
59	0.1595293083
60	0.1592816301
61	0.1590740686
62	0.1589930409
63	0.1589084607
64	0.1586029596
65	0.1583609639
66	0.1582769523
67	0.1580444924
68	0.1579934405
69	0.1577059791
70	0.1576069345
71	0.1574554233
72	0.1574038595
73	0.1571584746
74	0.156706448
75	0.1565878489
76	0.1564909966
77	0.1563676636
78	0.155905149
79	0.1557913986
80	0.1556466987
81	0.1552649352
82	0.154868082
83	0.1547264897
84	0.1545169553
85	0.1543333218
86	0.1542983383
87	0.1542008841
88	0.1541585523
89	0.1541513395
90	0.1539451296
91	0.1537945994
92	0.1536114169
93	0.1534276401
94	0.1531785403
95	0.1529252433
96	0.1528698792
97	0.1527372111
98	0.1526872754
99	0.1525028045
100	0.1524531601
101	0.1523923134
102	0.1523294563
103	0.1521311642
104	0.1520218855
105	0.1518720179
106	0.1516325064
107	0.1514504029
108	0.1512178923
109	0.1511391173
110	0.151053734
111	0.1508486545
112	0.1508020531
113	0.1507642217
114	0.1505918632
115	0.1502943907
116	0.150263969
117	0.150076754
118	0.1499440506
119	0.1497892705
120	0.149725655
121	0.1495693886
122	0.1494894675
123	0.1493655497
124	0.1491849915
125	0.1489629405
126	0.1488900733
127	0.1488396114
128	0.1487432462
129	0.1485989583
130	0.1483956573
131	0.1483187287
132	0.1482015424
133	0.1480598614
134	0.1480279872
135	0.1478726394
136	0.1478354675
137	0.1477731323
138	0.1476502786
139	0.1474520999
140	0.1474378892
141	0.1473779399
142	0.1473069834
143	0.1472641571
144	0.1472042718
145	0.1470775653
146	0.1468822306
147	0.1467231828
148	0.1465926287
149	0.1465238994
150	0.1464223783
151	0.1462613363
152	0.1461081713
153	0.1460238128
154	0.1459297927
155	0.1457883862
156	0.1456364029
157	0.1455756696
158	0.1454931064
159	0.145405162
160	0.1453543989
161	0.1452879599
162	0.1452107539
163	0.1451358405
164	0.1450304947
165	0.1448937886
166	0.1447880947
167	0.1446413531
168	0.1445237443
169	0.1443905118
170	0.1442955358
171	0.1442955081
172	0.1442218157
173	0.1440895377
174	0.1439824895
175	0.1438838566
176	0.1437829256
177	0.1437102275
178	0.143620055
179	0.1435665338
180	0.1435252015
181	0.1434928135
182	0.1433311228
183	0.1432854108
184	0.1431209566
185	0.1430093534
186	0.1427976956
187	0.1426527038
188	0.1426188501
189	0.1425038439
190	0.1424323954
191	0.1423755848
192	0.1422677226
193	0.1421700826
194	0.1421012314
195	0.1420678557
196	0.1419745737
197	0.1418032382
198	0.1417365455
199	0.1415813622
