iter	Passed	Remaining
425	3238	562
426	3247	555
427	3256	547
428	3264	540
429	3273	532
430	3282	525
431	3290	517
432	3297	510
433	3306	502
434	3315	495
435	3323	487
436	3332	480
437	3341	473
438	3350	465
439	3358	458
440	3367	450
441	3376	443
442	3385	435
443	3393	428
444	3402	420
445	3411	412
446	3418	405
447	3427	397
448	3435	390
449	3443	382
450	3451	375
451	3460	367
452	3468	359
453	3476	352
454	3483	344
455	3492	337
456	3501	329
457	3509	321
458	3518	314
459	3526	306
460	3535	299
461	3543	291
462	3551	283
463	3558	276
464	3567	268
465	3576	260
466	3585	253
467	3592	245
468	3601	238
469	3610	230
470	3619	222
471	3626	215
472	3634	207
473	3642	199
474	3650	192
475	3658	184
476	3667	176
477	3675	169
478	3694	161
479	3703	154
480	3713	146
481	3719	138
482	3727	131
483	3735	123
484	3744	115
485	3749	108
486	3758	100
487	3763	92
488	3772	84
489	3781	77
490	3788	69
491	3797	61
492	3805	54
493	3813	46
494	3822	38
495	3831	30
496	3839	23
497	3848	15
498	3856	7
499	3865	0
