iter	Passed	Remaining
0	35	7129
1	98	9718
2	136	8931
3	149	7347
4	161	6291
5	180	5827
6	194	5359
7	207	4980
8	218	4638
9	235	4479
10	243	4176
11	253	3971
12	265	3815
13	280	3721
14	291	3597
15	303	3494
16	318	3426
17	328	3324
18	345	3288
19	367	3308
20	387	3306
21	401	3248
22	418	3218
23	441	3236
24	462	3234
25	479	3208
26	498	3191
27	532	3271
28	554	3271
29	585	3317
30	605	3301
31	631	3317
32	661	3348
33	679	3319
34	696	3281
35	728	3318
36	752	3314
37	782	3335
38	797	3290
39	834	3338
40	872	3385
41	891	3355
42	917	3349
43	942	3341
44	958	3300
45	987	3307
46	1009	3286
47	1030	3262
48	1051	3239
49	1068	3204
50	1102	3221
51	1145	3260
52	1166	3234
53	1194	3228
54	1226	3232
55	1254	3225
56	1276	3201
57	1306	3197
58	1340	3203
59	1365	3186
60	1400	3191
61	1427	3177
62	1431	3113
63	1457	3097
64	1483	3080
65	1513	3073
66	1545	3068
67	1580	3067
68	1600	3038
69	1604	2979
70	1636	2973
71	1656	2945
72	1683	2929
73	1706	2904
74	1729	2882
75	1756	2865
76	1783	2849
77	1807	2827
78	1834	2809
79	1853	2779
80	1874	2753
81	1909	2748
82	1928	2717
83	1940	2679
84	1964	2657
85	1973	2616
86	1999	2596
87	2043	2601
88	2071	2583
89	2111	2580
90	2132	2554
91	2157	2532
92	2179	2507
93	2204	2486
94	2231	2466
95	2261	2449
96	2285	2427
97	2304	2398
98	2336	2384
99	2362	2362
100	2376	2329
101	2409	2315
102	2435	2293
103	2460	2271
104	2494	2256
105	2532	2245
106	2560	2225
107	2581	2199
108	2609	2178
109	2636	2157
110	2656	2129
111	2678	2104
112	2702	2080
113	2735	2063
114	2757	2038
115	2785	2017
116	2813	1996
117	2826	1964
118	2845	1936
119	2869	1913
120	2897	1892
121	2926	1871
122	2950	1847
123	3043	1865
124	3087	1852
125	3126	1836
126	3143	1806
127	3166	1781
128	3179	1749
129	3206	1726
130	3223	1698
131	3259	1679
132	3275	1649
133	3311	1631
134	3336	1606
135	3365	1583
136	3391	1559
137	3424	1538
138	3467	1521
139	3509	1504
140	3555	1487
141	3587	1465
142	3614	1440
143	3639	1415
144	3672	1392
145	3692	1365
146	3720	1341
147	3740	1314
148	3771	1290
149	3795	1265
150	3818	1238
151	3837	1211
152	3859	1185
153	3909	1167
154	3952	1147
155	3991	1125
156	4022	1101
157	4055	1078
158	4085	1053
159	4125	1031
160	4146	1004
161	4170	978
162	4204	954
163	4226	927
164	4246	900
165	4278	876
166	4309	851
167	4348	828
168	4374	802
169	4398	776
170	4425	750
171	4456	725
172	4477	698
173	4501	672
174	4548	649
175	4579	624
176	4605	598
177	4629	572
178	4659	546
179	4680	520
180	4703	493
181	4727	467
182	4745	440
183	4771	414
184	4790	388
185	4817	362
186	4839	336
187	4860	310
188	4888	284
189	4908	258
190	4938	232
191	4961	206
192	4994	181
193	5015	155
194	5041	129
195	5067	103
196	5093	77
197	5128	51
198	5142	25
199	5166	0
