iter	Logloss
0	0.5784095657
1	0.4931484798
2	0.4277166158
3	0.3784720502
4	0.341339274
5	0.3098368674
6	0.2851643956
7	0.2668512665
8	0.2529504539
9	0.2373872199
10	0.2268449361
11	0.2174934811
12	0.2093890814
13	0.2020810528
14	0.1969920682
15	0.1927741489
16	0.1890525766
17	0.1866056484
18	0.1837915836
19	0.1817374182
20	0.1799704718
21	0.1783606366
22	0.177210281
23	0.1758737792
24	0.1746503135
25	0.1736531568
26	0.1724806747
27	0.1716618319
28	0.1707656234
29	0.1696090822
30	0.1685139756
31	0.1675338264
32	0.1667902583
33	0.1662412825
34	0.1658852048
35	0.1651796489
36	0.1649062817
37	0.1643603277
38	0.1642379514
39	0.1640096414
40	0.1636628485
41	0.1632096768
42	0.1625761074
43	0.1623016235
44	0.1620518913
45	0.1616677941
46	0.1614606658
47	0.1613353577
48	0.1611323935
49	0.1609261966
50	0.1608342523
51	0.1605203005
52	0.1601975452
53	0.1598025721
54	0.1594309907
55	0.1591869614
56	0.1591385535
57	0.1590025506
58	0.1587245756
59	0.158528699
60	0.1581827687
61	0.1581033844
62	0.1581033454
63	0.1580510047
64	0.1579043014
65	0.1577195863
66	0.1574537714
67	0.157186587
68	0.1570234276
69	0.1570234129
70	0.1567677707
71	0.156587581
72	0.1563483948
73	0.1561452688
74	0.1560388044
75	0.155860888
76	0.1555380928
77	0.1553320413
78	0.1552364466
79	0.1550796994
80	0.1549126255
81	0.1545153248
82	0.1543461173
83	0.1542849772
84	0.1542071547
85	0.1542069803
86	0.1540029206
87	0.1535771947
88	0.1530922782
89	0.1526442247
90	0.1526107239
91	0.1524402429
92	0.1522332057
93	0.15193138
94	0.1518456042
95	0.1515270851
96	0.1513589249
97	0.1510985327
98	0.1509313661
99	0.1507260818
100	0.1506992364
101	0.1504674178
102	0.1502975478
103	0.1499047288
104	0.1497599961
105	0.1496655112
106	0.1495761682
107	0.1495031277
108	0.1493351881
109	0.1491986894
110	0.1490357885
111	0.1489393309
112	0.1488474454
113	0.1487860791
114	0.1484851126
115	0.1483468539
116	0.1482767564
117	0.148176451
118	0.1481625774
119	0.1479629064
120	0.1478323775
121	0.1476920441
122	0.1476687551
123	0.1475538037
124	0.1474621547
125	0.14726815
126	0.1472484117
127	0.1472000583
128	0.1471555657
129	0.1470797944
130	0.1469878129
131	0.146792852
132	0.1467703705
133	0.1467089577
134	0.146673015
135	0.1465643167
136	0.1464895827
137	0.1464065596
138	0.1463144668
139	0.1460899995
140	0.1459283345
141	0.1458312836
142	0.1457823674
143	0.1457069376
144	0.1455854792
145	0.1455159373
146	0.1453862661
147	0.1452587941
148	0.1451804698
149	0.1451180978
150	0.1449884027
151	0.144907827
152	0.1446592131
153	0.1445835276
154	0.1444971742
155	0.1443684888
156	0.1442229463
157	0.1441556449
158	0.1439839041
159	0.14390089
160	0.1438310934
161	0.1436955889
162	0.1436518054
163	0.143565087
164	0.1434677963
165	0.1433213362
166	0.1431906331
167	0.1430526287
168	0.1428349643
169	0.1427698891
170	0.1426965643
171	0.1425725644
172	0.1424007363
173	0.1423503338
174	0.142259767
175	0.1421829897
176	0.1421249719
177	0.142039471
178	0.1419774573
179	0.1419022041
180	0.1418240993
181	0.141638754
182	0.1415401743
183	0.1415241354
184	0.1414398786
185	0.1414003449
186	0.141276164
187	0.1411892051
188	0.1411505632
189	0.1410343545
190	0.1409416493
191	0.1407346904
192	0.140572189
193	0.1404788773
194	0.1403929933
195	0.1402205443
196	0.1401814777
197	0.140119604
198	0.140053763
199	0.139961214
